,ANI energy,DFT energy,Phi,Psi
1067,-857952.6760150783,-857950.7104655355,230,290
1068,-857952.6912856593,-857950.9298428477,240,290
1069,-857952.512357176,-857950.6747602465,250,290
1070,-857952.242837793,-857949.962160488,260,290
1071,-857951.9410666149,-857949.0657632046,270,290
1072,-857951.82670493,-857948.2679476595,280,290
1073,-857951.8764912877,-857947.7860203835,290,290
1074,-857952.0611764,-857947.7341881009,300,290
1075,-857952.4056819817,-857948.0682113939,310,290
1076,-857953.0798461175,-857948.7818151676,320,290
1077,-857953.6365376256,-857949.8183353166,330,290
1078,-857953.9459799808,-857950.7998856356,340,290
1079,-857953.9793380708,-857951.2986301655,350,290
1080,-857952.7487618041,-857950.0336338171,0,300
1081,-857953.0756254096,-857949.6017190462,10,300
1082,-857952.1458690874,-857949.5739203766,20,300
1083,-857952.2356198013,-857949.1356677599,30,300
1084,-857952.2832535538,-857948.2967503442,40,300
1085,-857951.8482393106,-857947.1413171501,50,300
1086,-857951.1727100393,-857945.8557384908,60,300
1087,-857950.0947741455,-857944.6654785208,70,300
1088,-857948.5726872224,-857943.712228879,80,300
1089,-857949.2698256336,-857946.1228065229,90,300
1090,-857947.5142724958,-857946.9632299613,100,300
1091,-857947.9168907763,-857947.5681490941,110,300
1092,-857948.6441345685,-857947.7414672109,120,300
1093,-857949.3530910733,-857947.6811635504,130,300
1094,-857949.9920289498,-857947.6718136593,140,300
1095,-857950.2942949893,-857947.8057869319,150,300
1096,-857950.6002241422,-857948.0760552624,160,300
1097,-857950.9490455633,-857948.382907395,170,300
1098,-857951.5664319104,-857948.5481933905,180,300
1099,-857951.9742887741,-857948.6372997358,190,300
1100,-857952.0608530641,-857948.7988834254,200,300
1101,-857952.0433215514,-857949.1859940197,210,300
1102,-857952.3025144925,-857949.7437244401,220,300
1103,-857952.6337809695,-857950.120794883,230,300
1104,-857952.5693128823,-857950.0567889167,240,300
1105,-857952.1536344555,-857949.4989329943,250,300
1106,-857951.6257198561,-857948.5502014208,260,300
1107,-857951.1967485953,-857947.5495120628,270,300
1108,-857951.024016905,-857946.7423466266,280,300
1109,-857951.061522971,-857946.3974674196,290,300
1110,-857951.2826784772,-857946.5365235191,300,300
1111,-857951.662047927,-857947.1576323963,310,300
1112,-857952.3086894703,-857948.1251265033,320,300
1113,-857952.9602182088,-857949.2445406537,330,300
1114,-857953.1669764671,-857950.1694268673,340,300
1115,-857953.0594780988,-857950.4514923757,350,300
1116,-857952.7729009708,-857950.3675316081,0,310
1117,-857952.1707699277,-857950.2737189418,10,310
1118,-857952.4773814564,-857949.9984305355,20,310
1119,-857952.5803984501,-857949.2235818371,30,310
1120,-857952.4217789052,-857948.1165923743,40,310
